run,province,cluster_id,r2,mae,mse,included_in_headline
3,09 Espaillat,2,0.6869102716445923,0.02368384413421154,0.0015526111237704754,True
3,12 La Romana,2,0.6839421987533569,0.026716243475675583,0.0042741429060697556,True
3,28 Monseñor Nouel,0,0.6624683737754822,0.03460878133773804,0.0032337778247892857,True
3,06 Duarte,0,0.6418079137802124,0.019579822197556496,0.001021088333800435,True
3,13 La Vega,0,0.6349934339523315,0.020194808021187782,0.001401514862664044,True
3,30 Hato Mayor,2,0.610093355178833,0.0493454784154892,0.00645444355905056,True
3,32 Santo Domingo,4,0.6042331457138062,0.015818828716874123,0.002427941421046853,True
3,01 Distrito Nacional,4,0.6003769636154175,0.01600709930062294,0.0016329835634678602,True
3,25 Santiago,4,0.5793424844741821,0.021073920652270317,0.0014667138457298279,True
3,22 San Juan,0,0.5599201917648315,0.030578605830669403,0.0024643249344080687,True
3,23 San Pedro de Macorís,2,0.5429571866989136,0.015884218737483025,0.0009256814373657107,True
3,04 Barahona,2,0.5115925073623657,0.03996840864419937,0.005320451688021421,True
3,21 San Cristóbal,4,0.47914403676986694,0.017186032608151436,0.0012995157158002257,True
3,29 Monte Plata,0,0.46929728984832764,0.02771702967584133,0.0019520566565915942,True
3,11 La Altagracia,2,0.44067054986953735,0.017651082947850227,0.0010184880811721087,True
3,10 Independencia,1,0.4395846128463745,0.06768166273832321,0.012239798903465271,False
3,18 Puerto Plata,2,0.43170613050460815,0.023360654711723328,0.001909563667140901,True
3,19 Hermanas Mirabal,0,0.42809557914733887,0.046751249581575394,0.006545013282448053,True
3,27 Valverde,1,0.4276166558265686,0.025112606585025787,0.0023968208115547895,True
3,31 San José de Ocoa,3,0.34279608726501465,0.11586643010377884,0.027270905673503876,True
3,14 María Trinidad Sánchez,2,0.25615131855010986,0.03682132810354233,0.0034690548200160265,True
3,26 Santiago Rodríguez,1,0.1979619860649109,0.0733981654047966,0.01632397621870041,True
3,08 El Seibo,2,0.18732935190200806,0.020643604919314384,0.0015308662550523877,True
3,17 Peravia,3,0.17428988218307495,0.022474540397524834,0.001079670269973576,True
3,20 Samaná,2,0.1422085165977478,0.03636380285024643,0.0033669047988951206,True
3,15 Monte Cristi,2,0.12638592720031738,0.07100813090801239,0.01364839356392622,False
3,02 Azua,3,-0.2552037239074707,0.025613700971007347,0.0012983051128685474,True
4,24 Sánchez Ramírez,0,0.7074445486068726,0.05354519933462143,0.008330406621098518,True
4,12 La Romana,2,0.6951241493225098,0.026643913239240646,0.004122926853597164,True
4,09 Espaillat,2,0.6892154812812805,0.02374214679002762,0.0015411794884130359,True
4,28 Monseñor Nouel,0,0.6600561738014221,0.034904688596725464,0.0032568881288170815,True
4,06 Duarte,0,0.6441774368286133,0.019526591524481773,0.0010143335675820708,True
4,13 La Vega,0,0.6233440637588501,0.020926475524902344,0.0014462450053542852,True
4,30 Hato Mayor,2,0.6136700510978699,0.04945480078458786,0.006395236123353243,True
4,01 Distrito Nacional,4,0.5913572311401367,0.016102880239486694,0.001669841120019555,True
4,32 Santo Domingo,4,0.5878719687461853,0.016120754182338715,0.0025283137802034616,True
4,25 Santiago,4,0.5673280954360962,0.021030884236097336,0.0015086045023053885,True
4,23 San Pedro de Macorís,2,0.5498049259185791,0.01586625538766384,0.0009118122979998589,True
4,22 San Juan,0,0.549639105796814,0.030793095007538795,0.0025218958035111427,True
4,04 Barahona,2,0.490326464176178,0.04033997654914856,0.005552113056182861,True
4,21 San Cristóbal,4,0.4813441038131714,0.017215704545378685,0.0012940267333760858,True
4,29 Monte Plata,0,0.47532302141189575,0.02763434685766697,0.0019298925762996078,True
4,19 Hermanas Mirabal,0,0.4571235179901123,0.04584592580795288,0.006212810520082712,True
4,11 La Altagracia,2,0.4485805034637451,0.0176386721432209,0.0010040848283097148,True
4,27 Valverde,1,0.44222962856292725,0.02480647712945938,0.002335629891604185,True
4,18 Puerto Plata,2,0.42908215522766113,0.023557297885417938,0.0019183807307854295,True
4,10 Independencia,1,0.42489051818847656,0.0688626691699028,0.012560725212097168,False
4,31 San José de Ocoa,3,0.35458874702453613,0.1119028702378273,0.026781564578413963,True
