split,year,week,y_true,y_hat,n_provinces,time_value
fit_2015_2019,2016,45,0.00863014577355768,0.007279609430302766,28,2016.8461538461538
fit_2015_2019,2016,46,0.0059415056519875565,0.0078115664702116715,28,2016.8653846153845
fit_2015_2019,2016,47,0.01162979008430349,0.00567570342172985,28,2016.8846153846155
fit_2015_2019,2016,48,0.014492495634060885,0.009662767024045544,28,2016.9038461538462
fit_2015_2019,2016,49,0.011781892298521208,0.013686877029873099,28,2016.923076923077
fit_2015_2019,2016,50,0.005907376646064222,0.009652757169013577,28,2016.9423076923076
fit_2015_2019,2016,51,0.004957523779012263,0.005029913776005352,28,2016.9615384615386
fit_2015_2019,2016,52,0.009866735440612371,0.00479086966073997,28,2016.9807692307693
fit_2015_2019,2017,1,0.00541322396436174,0.0106804052172395,28,2017.0
fit_2015_2019,2017,2,0.004396619541304452,0.00472990277839764,28,2017.0192307692307
fit_2015_2019,2017,3,0.003893915131422026,0.0032192986109293997,28,2017.0384615384614
fit_2015_2019,2017,4,0.0005040229464481984,0.002933571455482057,28,2017.0576923076924
fit_2015_2019,2017,5,0.003674930352385023,0.0009519915020064218,28,2017.076923076923
fit_2015_2019,2017,6,0.008346772719440716,0.0028424721652819634,28,2017.0961538461538
fit_2015_2019,2017,7,0.002248479028431965,0.006658312624495011,28,2017.1153846153845
fit_2015_2019,2017,8,0.002457577136478254,0.0009420142684705622,28,2017.1346153846155
fit_2015_2019,2017,9,0.005517528409005276,0.0025036769942354503,28,2017.1538461538462
fit_2015_2019,2017,10,0.0034663474569762392,0.005954419279208066,28,2017.173076923077
fit_2015_2019,2017,11,0.003260795193325196,0.004421540707231283,28,2017.1923076923076
fit_2015_2019,2017,12,0.005420084776622909,0.003070176624792761,28,2017.2115384615386
fit_2015_2019,2017,13,0.0071253589537393835,0.005078581279706539,28,2017.2307692307693
fit_2015_2019,2017,14,0.006642640011185514,0.0044955504594586925,28,2017.25
fit_2015_2019,2017,15,0.0023483977669716944,0.006663173462064671,28,2017.2692307692307
fit_2015_2019,2017,16,0.0036096741179270403,0.0035921558082918637,28,2017.2884615384614
fit_2015_2019,2017,17,0.0038629593161333886,0.005354150038848664,28,2017.3076923076924
fit_2015_2019,2017,18,0.0047559318232483095,0.003717284881661596,28,2017.326923076923
fit_2015_2019,2017,19,0.006155573746322521,0.003920948736630895,28,2017.3461538461538
fit_2015_2019,2017,20,0.014928764272813819,0.0066730966911044175,28,2017.3653846153845
fit_2015_2019,2017,21,0.011470672117346632,0.01472854888184624,28,2017.3846153846155
fit_2015_2019,2017,22,0.014311003448840762,0.013154562736807358,28,2017.4038461538462
fit_2015_2019,2017,23,0.0056894872271056685,0.015216957572452625,28,2017.423076923077
fit_2015_2019,2017,24,0.004677572279303733,0.00790345774709879,28,2017.4423076923076
fit_2015_2019,2017,25,0.006825791405779975,0.007058506954178613,28,2017.4615384615386
fit_2015_2019,2017,26,0.013165057345759124,0.00943821673614106,28,2017.4807692307693
fit_2015_2019,2017,27,0.0068204382550902665,0.015502763902077277,28,2017.5
fit_2015_2019,2017,28,0.006699617070678089,0.009559724287620546,28,2017.5192307692307
fit_2015_2019,2017,29,0.005608402333954083,0.0085022605053382,28,2017.5384615384614
fit_2015_2019,2017,30,0.006801496841944754,0.0076982282190718775,28,2017.5576923076924
fit_2015_2019,2017,31,0.00943258112861908,0.007757849692747446,28,2017.576923076923
fit_2015_2019,2017,32,0.0068144074840737244,0.009769118804472652,28,2017.5961538461538
fit_2015_2019,2017,33,0.00482834196217092,0.0077963133584749555,28,2017.6153846153845
fit_2015_2019,2017,34,0.009009904269727744,0.005519847211222181,28,2017.6346153846155
fit_2015_2019,2017,35,0.002684901127525206,0.009452926543807345,28,2017.6538461538462
fit_2015_2019,2017,36,0.010082960344984062,0.004030679570860229,28,2017.673076923077
fit_2015_2019,2017,37,0.007821874410313154,0.011131458472976061,28,2017.6923076923076
fit_2015_2019,2017,38,0.009005561121739447,0.007503001807240902,28,2017.7115384615386
fit_2015_2019,2017,39,0.012935188532407795,0.010092369280235809,28,2017.7307692307693
fit_2015_2019,2017,40,0.013638843873715294,0.013038507694415915,28,2017.75
fit_2015_2019,2017,41,0.00789275036991707,0.014154600957876287,28,2017.7692307692307
fit_2015_2019,2017,42,0.005366410087195358,0.007901695166505565,28,2017.7884615384614
fit_2015_2019,2017,43,0.006509541459048965,0.005840146080507631,28,2017.8076923076924
fit_2015_2019,2017,44,0.004350029597324985,0.007295749147098312,28,2017.826923076923
fit_2015_2019,2017,45,0.004363116774974125,0.004697634032839103,28,2017.8461538461538
fit_2015_2019,2017,46,0.008391087076493673,0.004589785143252811,28,2017.8653846153845
fit_2015_2019,2017,47,0.005800686194561422,0.006956195217623774,28,2017.8846153846155
fit_2015_2019,2017,48,0.008372059973355914,0.003875781546412327,28,2017.9038461538462
fit_2015_2019,2017,49,0.007334100015993629,0.006776883253873426,28,2017.923076923077
fit_2015_2019,2017,50,0.000656089953346444,0.007680889329744137,28,2017.9423076923076
fit_2015_2019,2017,51,0.003705899723822118,0.0010146521625366794,28,2017.9615384615386
fit_2015_2019,2017,52,0.0011374482336188002,0.003988059642974154,28,2017.9807692307693
fit_2015_2019,2018,1,0.005779723740748263,0.0026883988986290725,28,2018.0
fit_2015_2019,2018,2,0.0027753942496409373,0.006004048935470304,28,2018.0192307692307
fit_2015_2019,2018,3,0.006118130121779229,9.251537734858825e-05,28,2018.0384615384614
fit_2015_2019,2018,4,0.003096422168060339,0.0035665411058809176,28,2018.0576923076924
fit_2015_2019,2018,5,0.0044153108652348495,0.0002618313035002627,28,2018.076923076923
fit_2015_2019,2018,6,0.004427120869097832,0.0014906476088266832,28,2018.0961538461538
